Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Injured Animal,13-01445030,"Sep 29, 2013",2013,9,13300 S AVENUE L ,"Street - RACCOON - YOUNG RACCOON STILL ALIVE BUT INJURED, MIDDLE OF THE STREET,"
Injured Animal,13-01456832,"Oct 01, 2013",2013,10,9700 S PROSPECT AVE,Alley - raccoon - raccoon stuck in garbage cart garbage cart is on side of the house by porch.
Injured Animal,13-01460617,"Oct 01, 2013",2013,10,5100 S SAYRE AVE,Back yard - raccoon - hit by a car
Injured Animal,13-01470229,"Oct 03, 2013",2013,10,12000 S EMERALD AVE,Street - RACCOON - UNKNOWN
Injured Animal,13-01470682,"Oct 03, 2013",2013,10,1600 W RASCHER AVE,Alley - raccoon - injured leg - behind carts in alley
Injured Animal,13-01479068,"Oct 04, 2013",2013,10,7700 S WINCHESTER AVE,"racc - Sidewalk - raccoon - lying on parkway, appears leg in injured"
Injured Animal,13-01483233,"Oct 04, 2013",2013,10,7600 S WINCHESTER AVE,RACCOON IS OUTSIDE PLAYGROUND OF ELEMENTARY SCHOOL - Sidewalk - RAC - INJURED
Injured Animal,13-01483257,"Oct 04, 2013",2013,10,1900 W 76TH ST,"Sidewalk - raccoon - fell out of tree, laying in grass near school"
Injured Animal,13-01483259,"Oct 04, 2013",2013,10,7600 S WOLCOTT AVE,"Parkway  - RACCOON - RACCOON IS INJURED, NOT MOVING NEAR TREE"
Injured Animal,13-01483514,"Oct 04, 2013",2013,10,1900 W 76TH ST,Sidewalk - raccoon - unknown/raccoon is walking up and down the playground and the kids are in the playground
Injured Animal,13-01485651,"Oct 05, 2013",2013,10,9700 S GENOA AVE,Alley - raccoon - trapped in garbage cart
